ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
DivSlit	3.0mm
DivH.L.Slit	10mm
SctSlit	open
RecSlit	open
Start	114
Stop	119
Step	0.01
117.23	80426
117.24	80502
117.25	80175
117.26	80557
117.27	80127
117.28	80598
117.29	80228
117.3	80876
117.31	80051
117.32	80084
117.33	80460
117.34	79898
117.35	79741
117.36	80084
117.37	80639
117.38	80350
117.39	79959
117.4	79860
117.41	80155
117.42	80109
117.43	80399
117.44	80031
117.45	79562
117.46	79945
117.47	79997
117.48	79809
117.49	79789
117.5	80185
117.51	80082
117.52	80114
117.53	80073
117.54	79901
117.55	80335
117.56	80129
117.57	80273
117.58	80522
117.59	79632
117.6	80338
117.61	80363
117.62	80368
117.63	79952
117.64	80412
117.65	79805
117.66	79717
117.67	79838
117.68	80061
117.69	79581
117.7	79984
117.71	80410
117.72	80101
117.73	79825
117.74	79825
117.75	79623
117.76	79774
117.77	80198
117.78	79883
117.79	80417
117.8	80204
117.81	80118
117.82	79558
117.83	79667
117.84	80201
117.85	80430
117.86	80472
117.87	80073
117.88	79551
117.89	79951
117.9	79246
117.91	80264
117.92	80331
117.93	80187
117.94	79854
117.95	80351
117.96	79856
117.97	80098
117.98	80087
117.99	79793
118	80276
118.01	79963
118.02	80123
118.03	79740
118.04	80539
118.05	79782
118.06	80073
118.07	80300
118.08	79843
118.09	79958
118.1	80293
118.11	79878
118.12	79742
118.13	79681
118.14	80204
118.15	79912
118.16	79949
118.17	80186
118.18	79576
118.19	80477
118.2	79973
118.21	79906
118.22	80104
118.23	80187
118.24	80503
118.25	80682
118.26	80019
118.27	80163
118.28	80115
118.29	79958
118.3	79699
118.31	79859
118.32	79899
118.33	80544
118.34	80106
118.35	80162
118.36	80170
118.37	80117
118.38	80048
118.39	80184
118.4	80020
118.41	79695
118.42	79974
118.43	79649
118.44	80424
118.45	79827
118.46	80525
118.47	80476
118.48	80399
118.49	80441
118.5	79843
118.51	80311
118.52	80276
118.53	80272
118.54	80265
118.55	80291
118.56	79737
118.57	79703
118.58	80142
118.59	79831
118.6	80386
118.61	80058
118.62	80415
118.63	79806
118.64	80318
118.65	79998
118.66	80365
118.67	80038
118.68	80209
118.69	79738
118.7	80156
118.71	79980
118.72	80718
118.73	80321
118.74	80123
118.75	79891
118.76	80464
118.77	80336
118.78	79482
118.79	80552
118.8	80529
118.81	80016
118.82	80451
118.83	80326
118.84	80317
118.85	80084
118.86	80539
118.87	80376
118.88	80310
118.89	80214
118.9	80026
118.91	80159
